"category_code","price_2006","price_2018","cagr_percentage"
118101,21.726613333333344,15.750333333333337,-2.65
117101,57.829613333333285,44.48794444444441,-2.16
116103,27.304640000000013,29.32144444444445,0.60
112201,105.17778666666693,116.85322222222223,0.88
122102,7.687919999999993,8.644722222222223,0.98
111303,38.59642666666676,43.83533333333333,1.07
116104,30.7145466666667,36.174833333333304,1.37
112704,116.77441333333347,144.87633333333335,1.81
117401,12.074920000000002,15.079333333333333,1.87
114501,110.94665333333342,142.4538888888889,2.10
112101,166.3374000000004,223.25872222222222,2.48
2000001,69.34977777777779,93.45866666666669,2.52
114201,14.437840000000001,19.817555555555558,2.67
213201,8.449613333333327,11.809499999999998,2.83
115201,69.45212000000006,99.39811111111113,3.03
112401,47.47375999999998,69.30955555555552,3.20
116101,24.73317333333334,36.50044444444444,3.30
111301,16.12364000000002,24.238500000000013,3.46
111201,7.407573333333333,11.435388888888893,3.68
117106,14.409266666666667,22.453277777777785,3.77
114401,5.829360000000014,9.171277777777773,3.85
114701,23.494840000000007,38.390444444444434,4.18
111101,21.289666666666644,36.1752222222222,4.52
117103,35.31016000000004,60.46788888888884,4.58
111602,26.095533333333407,47.87427777777777,5.19
115101,104.38782666666675,207.0841666666665,5.87
